,username,name,id,description,created_at,tweet_count,public_metrics
45,KarenHa47050509,Karen Harris,1.200504140184662e+18,"Proud mum of 3 amazing children, registered children’s nurse, learning new things daily about widowhood and diving head first into solo parenting!",2019-11-29T19:57:55.000Z,,
46,ColloquialGal,Tracey Close,357705027.0,"BA (Hons) Phil. & Psych. Ret’d nursing Sister A & E. Many hobbies. For Free Speech. Against the Woke ideology, CRT etc; hopefully it will implode!",2011-08-18T19:45:04.000Z,,
47,EmmaHazeldene,Emma hazeldene,1.5440589958366986e+18,Crystal loving ..holistic therapist... nurse ...mumma ....,2022-07-04T20:42:36.000Z,,
48,Ema10851682,Ema,1.2862051928961638e+18,Grey sky’s 🎸 mummy to Daisy 👧🏼🐘🌻auxiliary nurse 🚑🏥,2020-07-23T07:43:33.000Z,,
49,fionadavies00,Fiona Davies,555359795.0,"Welsh mum of two, identical twin, Patient at Risk Team nurse practitioner, tweets are my own",2012-04-16T19:24:40.000Z,,
50,UWESusglohealth,Sustainable Global Public Health,1.5907295207845888e+18,"UWE year 1 nursing module. Climate change, sustainable healthcare, public health, social justice, health equity",2022-11-10T15:34:24.000Z,,
51,Bisila03L,Lidia Socosote,1.5895629850595983e+18,My ambition is to study Adult Nursing in university. Since a very young age I have been clear that studying nursing was what I wanted as I love to help people.,2022-11-07T10:19:26.000Z,,
52,RoisinKate,kayte,1.4500504924580495e+18,student nurse🌱 virgo 🌠 wild love for cows and naps,2021-10-18T10:45:55.000Z,,
53,cardains,Sally W,204741861.0,"NHS nurse, Socialist, wife, daughter, sister, aunty.",2010-10-19T11:17:24.000Z,,
54,b_stephenie,Stephenie Bucknor,1.218317483419021e+18,"👩‍👧 Mum|🏥Urology Nurse|Perfume lover|keen about all things beauty, fashion & wellbeing
👉IG Pages @nursestephenie_uk
@Stephamoresessensuals",2020-01-17T23:41:51.000Z,,
55,Wakelin3Lucy,Lucy Wakelin,1.5628807638627164e+18,3rd year adult nursing student @ Coventry university 👩🏼‍⚕️🫀🫁🧠🏩🩺🌡💉💊,2022-08-25T19:13:17.000Z,,
56,sallyja22276952,sally jackson,1.3244393135689892e+18,"Mum , Nana , cat lover, nurse,supporter of better access to MH services, supporter of our NHS",2020-11-05T19:52:08.000Z,,
57,mamoran2519,Mariam Amoran,3342918057.0,"Proud CCU nurse @UCLH. Mother, music and book lover, always have a smile. E,D&I in workplace Champion. proud FNF Scholar. Fighting ILD&PH...all views my own",2015-06-23T18:12:33.000Z,,
58,heather56134548,heather,9.635236843496776e+17,"NHS Scotland charge nurse in critical care, mum and wife. All views are my own.",2018-02-13T21:22:02.000Z,,
59,emilywallacexo,Emily Wallace ,621747977.0,"Mum of my two favourite humans 🤍
Student nurse  💙",2012-06-29T09:41:39.000Z,,
60,LynetteBracegi3,Lynette Bracegirdle,1.244498885365637e+18,Proud to be a NHS nurse # lovemynhs 🌈😍.  CNS Breast cancer . Wife and mother .. you can take the girl out of Accrington but not Accrington out of the girl 😍,2020-03-30T05:37:28.000Z,,
