id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.2344057666160271e+18,2020-03-02 09:10:43+00:00,['1234405766616027136'],"Verse of the Day
Blessed are the meek,  for they will inherit the earth.Matthew 5:5 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Matthew55 #NIV #2020 #2020vision #Bestisyettocome… https://t.co/nwMFTVBhl1",,verse day blessed meek inherit earth matthew niv,day inherit earth niv 
1.2340125898914898e+18,2020-03-01 07:08:22+00:00,['1234012589891489792'],"Verse of the day
In their hearts humans plan their course, but the Lord establishes their steps.
Proverbs 16:9 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #proverbs169 #NIV #2020… https://t.co/oqa63myG0H",,verse day heart human plan course lord establishes step proverb niv,day heart plan course lord step proverb niv 
1.2340117514710917e+18,2020-03-01 07:05:03+00:00,['1234011751471091713'],"First of March 🌼🐲 🏴󠁧󠁢󠁷󠁬󠁳󠁿😃
Dydd Gŵyl Dewi Sant Hapus!!! 
Happy Saint David's Day
Proud to be Welsh 
 #March #firstmarch #stdavidsday #HappySaintDavid'sday #Happy #Hapus #dyddgwyldewisant… https://t.co/KfDyzq4gto",,first march dydd gyl dewi sant hapus happy saint david's day proud welsh 'sday,march dydd gyl dewi hapus saint david day welsh 'sday 
1.233888964425212e+18,2020-02-29 22:57:08+00:00,['1233888964425211905'],"At work what did I do today?? Well I was walking around in the store for 30mins  with this help for heroes costume, my goodness me towards the end I was very sweaty and sticky but had a… https://t.co/QVPPDeb6pU",,work today well walking around store min help hero costume goodness towards end sweaty sticky,work today store min help hero goodness sweaty sticky 
1.2337829354692936e+18,2020-02-29 15:55:49+00:00,['1233782935469293575'],"Verse of the day
Teach us to number our days, that we may gain a heart of wisdom.
Psalms 90:12 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #pslams9012 #NIV #2020 #2020vision… https://t.co/IPB7XvDpEs",,verse day teach number day may gain heart wisdom psalm niv,day number day heart wisdom psalm niv 
1.2332946615083704e+18,2020-02-28 07:35:35+00:00,['1233294661508370438'],"Verse of the Day
The law of the Lord is perfect, refreshing the soul. The statutes of the Lord are trustworthy, making wise the simple.
Psalms 19:7 NIV✝️📖🙏😃
#Verseoftheday… https://t.co/5Ism35N1Z8",,verse day law lord perfect refreshing soul statute lord trustworthy making wise simple psalm niv,day law lord soul statute lord trustworthy psalm niv 
1.2330706904562606e+18,2020-02-27 16:45:36+00:00,['1233070690456260609'],"What a wired day at work today. No water due to health and safety we didn't much  much food. so mostly helped out with the stock taking. With all of our food from freezers, fridges the… https://t.co/tRKIr6H8lM",,wired day work today water due health safety much much food mostly helped stock taking food freezer fridge,day work today water health safety food stock food freezer fridge 
1.232917018212307e+18,2020-02-27 06:34:58+00:00,['1232917018212306944'],"Verse of the Day
My help comes from the Lord , the Maker of heaven and earth.
Psalms 121:2 NIV ✝️📖🙏😃
#Verseoftheday #Verseencouragement #pslams1212  #NIV #2020 #2020vision… https://t.co/JfFzV49zRb",,verse day help come lord maker heaven earth psalm niv,verse day lord maker niv 
1.2327788584133386e+18,2020-02-26 21:25:58+00:00,['1232778858413338631'],"#Prayer

Never stop helping in God
Never stop growing in God
Never stop changing in God
Never stop improving in God
Never stop developing in God
Never stop progressing in God
God is Helping you change ever
Father Jesus HolySpirit One God",,never stop helping god never stop growing god never stop changing god never stop improving god never stop developing god never stop progressing god god helping change ever father jesus holyspirit one god,god god god god change jesus holyspirit god 
1.2326446080788849e+18,2020-02-26 12:32:30+00:00,['1232644608078884864'],@WWE @WWERomanReigns This time last year !!! The big dog is back!!!,,time last year big dog back,time year dog 
1.2325550149939896e+18,2020-02-26 06:36:29+00:00,['1232555014993989634'],"Verse of the day
Blessed are those who mourn, for they will be comforted.
Matthew 5:4 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #matthew54 #NIV #2020 #2020vision #bestisyettocome… https://t.co/Fxq6Up2fGH",,verse day blessed mourn comforted matthew niv,day mourn 
1.232194810267734e+18,2020-02-25 06:45:10+00:00,['1232194810267734016'],"Verse of the day
Set your minds on things above, not on earthly things.Colossians 3:2 NIV 
✝️📖🙏😃
#Verseoftheday #Verseencouragement #colossians32 #NIV #2020 #2020vision #bestisyettocome… https://t.co/BFQMrr8fB7",,verse day set mind thing earthly thing colossian niv,day thing thing niv 
1.231832290306617e+18,2020-02-24 06:44:39+00:00,['1231832290306617344'],"Verse of the day
Worship the Lord with gladness; come before him with joyful songs.
Psalms 100:2 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Psalms1002 #NIV #2020 #2020vision… https://t.co/Sd0OJZW3ce",,verse day worship lord gladness come joyful song psalm niv,day worship lord gladness joyful song psalm niv 
1.231520706585862e+18,2020-02-23 10:06:31+00:00,['1231520706585862147'],"Verse of the day
“Blessed are the poor in spirit,  for theirs is the kingdom of heaven.
Matthew 5:3 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #matthew53 #NIV #2020 #2020vision… https://t.co/Kem3IYgW4n",,verse day blessed poor spirit kingdom heaven matthew niv,day spirit kingdom 
1.2311062554707026e+18,2020-02-22 06:39:38+00:00,['1231106255470702592'],"Verse of the day
In peace I will lie down and sleep, for you alone, Lord , make me dwell in safety.
Psalms 4:8 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #psalms48 #NIV #2020… https://t.co/7Xy3Vw3T4R",,verse day peace lie sleep alone lord make dwell safety psalm niv,day peace lie dwell safety psalm niv 
1.2310031208907776e+18,2020-02-21 23:49:49+00:00,['1231003120890777602'],"Round 2 
WALES VS FRANCE
Two changes to Wales' starting XV with Gareth Davies and Ross Moriarty

Come on Wales!!! Cymru am byth!!! 🏴󠁧󠁢󠁷󠁬󠁳󠁿🐲🏉🏟️🏆 #walesvsfrance #walvsfra #Rugby #Wales… https://t.co/1zCkOqvZVc",,round wale france two change wales' starting gareth davy ross moriarty come wale cymru byth,france change wale cymru byth 
